,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,-23.04025300611189,727662.7017839646,1.218045112781955,3.347828904232004e-06,3.0334131689509096e-06,1,-5.475236745376102,0.39350714695805167
2,-22.75,-22.649336113365052,727662.7017839646,1.1880082775672551,1.6326359378523738e-05,6.698763056614773e-06,5,-4.787110647969395,0.17819256354800483
3,-22.25,-22.185025717503844,727662.7017839648,1.1935892510225958,7.873467185912474e-05,1.4710686876776118e-05,24,-4.103833978172601,0.08114303374530468
4,-21.75,-21.713940388511883,727662.7017839645,1.2069267614508967,0.0003449960617279486,3.079335503422812e-05,104,-3.462185862548704,0.03876387487924068
5,-21.25,-21.223826912389516,727662.7017839648,1.2164315343791006,0.0008258183036041905,4.7642242214200644e-05,247,-3.083115495563757,0.02505486111027451
6,-20.75,-20.740486856079126,727662.7017839646,1.2330747301444474,0.0015657818490080228,6.560177157788849e-05,462,-2.8052687457082364,0.0181956940025868
7,-20.25,-20.241983232173922,727662.7017839644,1.274893167843262,0.0022671379955914836,7.893850884061211e-05,647,-2.6445220445404667,0.01512151393775427
8,-19.75,-19.736476048983207,727432.3920504936,1.3741394329685659,0.0028450219615588747,8.844577593681828e-05,753,-2.5459143768095003,0.013501306125582506
9,-19.25,-19.27700497699332,592677.7560851768,1.476078112523842,0.0035662977228370528,0.00011743539666670398,671,-2.4477824037327305,0.014300977853272563
10,-18.75,-18.81000859906787,267665.3788014651,1.5523155899718102,0.0032500650526576403,0.00019667408737023136,229,-2.4881079461818945,0.026280849612042214
11,-18.25,-18.379012622734745,151442.1434650773,1.5689714274649136,0.00089704680688286,0.000172748609680481,26,-3.047184895372199,0.08363417311677525
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,-17.328765366949508,125644.24398898223,1.5778781038374718,2.511659991325725e-05,1.9995124974621676e-05,1,-4.600039152309591,0.345738375076021
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
