,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.03486369374185,2.10352183765322e-06,1.9257030611568934e-06,1134484.0100443107,1.1932059447983014,-5.677052975007545,0.3975819020627217
2,19,-22.75,-22.66209702255175,4.048840027056725e-05,8.448529350461098e-06,1134484.0100443107,1.208774807874534,-4.392669382218747,0.09062224371878137
3,105,-22.25,-22.186039450432975,0.0002259256927995746,1.9957154507804248e-05,1134484.0100443102,1.2205194568538116,-3.646034377284218,0.03836341927218962
4,305,-21.75,-21.714879137974332,0.0006626795951027604,3.417964969768724e-05,1134484.0100443105,1.232458040043803,-3.178696401780574,0.02240001558338292
5,735,-21.25,-21.218175142057852,0.001652174553336599,5.39689256504433e-05,1134484.0100443105,1.2750786480016816,-2.781944071091797,0.014186398499420093
6,1083,-20.75,-20.73438799567489,0.002588145781782061,6.755922828730485e-05,1134234.801290315,1.3551897874177212,-2.5870112649274515,0.011336532993368008
7,1228,-20.25,-20.25317260376027,0.003912867437404686,9.240915879567106e-05,975863.147146625,1.5061002280422144,-2.407504865152951,0.010256618294459889
8,400,-19.75,-19.84162135437756,0.0034960685427692603,0.00019197223051012203,456735.58331898437,1.571045949994446,-2.456420061319484,0.023847495942732617
9,11,-19.25,-19.4581403575358,0.0005859581843970902,0.0001878080105831798,97927.70422857934,1.5779967159277504,-3.232133375336124,0.13919761652860282
10,0,-18.75,,0.0,0.0,,,-inf,
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
