,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,2,-23.25,-23.209964724937027,1.8868243105040733e-05,1.2273065080647488e-05,250554.96162233857,1.1818181818181819,-4.724268536788348,0.28249182559772756
2,0,-22.75,,0.0,0.0,,,-inf,
3,5,-22.25,-22.225928204224957,4.352044844043989e-05,1.839766863529194e-05,257353.2005823409,1.1193787257314738,-4.361306638259208,0.18359199536113643
4,44,-21.75,-21.736701884272346,0.00039095699584373205,5.458190017214006e-05,262469.541580493,1.1660338564004278,-3.4078710111333086,0.060632290273760596
5,118,-21.25,-21.210437320685074,0.001064337042607244,9.001588975368257e-05,262706.49844518886,1.1847807526646474,-2.972920822637107,0.03673028621447862
6,209,-20.75,-20.71994568564307,0.0018998095566393584,0.00012026371738920899,262706.4984451888,1.194000756788116,-2.7212899320187467,0.02749216028142153
7,348,-20.25,-20.219569819964057,0.0031791362997854325,0.0001555729775501105,262706.4984451888,1.1999709272940018,-2.497690852086562,0.021252465862451872
8,458,-19.75,-19.747616510156078,0.004234736842912241,0.0001795530569730358,262706.49844518874,1.2145118862863629,-2.3731735726348266,0.018414108065006304
9,507,-19.25,-19.23462557062084,0.0047836852785897895,0.00019083625689569173,262706.49844518874,1.239354249706234,-2.3202374005639346,0.017325373324162896
10,632,-18.75,-18.747514098580233,0.006167713882188706,0.0002168040152060364,262571.2485851186,1.280927406966113,-2.2098757812393215,0.015266075770855531
11,636,-18.25,-18.258037889354668,0.006805476994842944,0.00023124867118000663,257350.56512987462,1.3701461086502957,-2.1671414297599494,0.014757234785605814
12,430,-17.75,-17.766645925763257,0.006555257264231145,0.0002760522682654046,192950.83677851644,1.387790818879628,-2.1834102595431526,0.018288828644256547
13,298,-17.25,-17.281513933088874,0.0077536819431842305,0.00039356976324412304,115382.01271949316,1.3920807711700107,-2.1104920177669104,0.02204438841744616
14,151,-16.75,-16.760606930113294,0.0077237586567226275,0.000606612794179012,66270.72063176353,1.4200575372227602,-2.1121713050235527,0.03410885824799261
15,103,-16.25,-16.264607419905747,0.010338818047505026,0.0009385488108505276,37295.73662810701,1.4009352753851396,-1.9855291077398423,0.03942487116770635
16,76,-15.75,-15.790435928892771,0.020134019866985604,0.002107078104853695,15040.79142630872,1.5175285599148598,-1.696069507189916,0.04545005914976906
17,17,-15.25,-15.286169093071166,0.010005799611518786,0.0025472443438896326,12837.132407795289,1.5098519518757512,-1.9997481990823402,0.11056129500504934
