,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,2,-23.25,-23.04920065312157,2.3262132082059327e-06,1.4980568740124412e-06,2073112.6872415172,1.205625528790128,-5.633350482684175,0.27968108497784894
2,28,-22.75,-22.661099121111395,3.2582378957075295e-05,5.606540172666205e-06,2073112.6872415172,1.2061954142218543,-4.487017209462381,0.07473025412802457
3,139,-22.25,-22.187653694914793,0.0001628591901916508,1.2534576884898337e-05,2073112.6872415175,1.2144800482740667,-3.788187729043193,0.03342579296690177
4,459,-21.75,-21.715161412828643,0.0005416215538942406,2.2858699187115683e-05,2073112.6872415175,1.2231399946204964,-3.2663040611783885,0.018329047005372974
5,1127,-21.25,-21.222007405863515,0.001360909777389534,3.6234161042734465e-05,2073112.687241518,1.2516944657042024,-2.8661706657449972,0.011563070865313612
6,1814,-20.75,-20.737560445276227,0.0022791310250533598,4.689323757433183e-05,2072963.9038453891,1.3022193426315862,-2.6422307069293343,0.008935631209106874
7,2273,-20.25,-20.24677445841412,0.0033318615252711224,5.948265577461692e-05,1912849.7384958721,1.39041506609492,-2.477313056503043,0.007753320171301124
8,1667,-19.75,-19.764562488238663,0.003561250766381637,7.50943853428803e-05,1323498.6996584006,1.3804907248595197,-2.4483974442922265,0.009157759258123076
9,1238,-19.25,-19.26584323167577,0.004546267221350974,0.00011211057530741288,795107.111870748,1.3905648743555394,-2.3423450408179503,0.010709666160921331
10,814,-18.75,-18.767017057695973,0.006114195195505741,0.00018909865224588245,424093.5722739461,1.4304726323785644,-2.2136607005497657,0.013431776150374554
11,452,-18.25,-18.30030648263266,0.0090064410694858,0.00041071584258038396,197644.5377017354,1.5289570637386796,-2.045446788290998,0.019804895483881632
12,57,-17.75,-17.854986773182613,0.0021844815586577627,0.0002731659472328586,106799.13973740421,1.5617376143293786,-2.6606516172427983,0.05430783476148883
13,3,-17.25,-17.39298053055325,0.000252099097369883,0.00013655623154891315,123523.81865802535,1.5779967159277504,-3.598428709293728,0.23524724384150322
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
