,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,-23.894900359711265,1495571.9978284836,1.2100515463917525,1.6181789283948931e-06,1.4710404200208824e-06,1,-5.790973458423263,0.3948047560509361
1,-23.25,-23.18952188030629,1495571.9978284836,1.2207147900733337,6.5297547257946394e-06,2.955015542428336e-06,4,-5.185103131624547,0.19653830777829004
2,-22.75,-22.677792967805033,1495571.9978284836,1.2430062272611502,5.8178700881412936e-05,8.82050285634408e-06,35,-4.235235980688356,0.06584361046373836
3,-22.25,-22.19639956216729,1495571.9978284836,1.28219600502076,0.00037379508241713096,2.2357751617815844e-05,218,-3.4273664164220143,0.02597639351644911
4,-21.75,-21.724103690218218,1495571.9978284836,1.3521688154905303,0.0010758966420674218,3.793120252898199e-05,595,-2.9682294479408404,0.015311240230880128
5,-21.25,-21.23166909203995,1495571.9978284836,1.6555356132564214,0.0023179703679879387,5.5675647329794346e-05,1047,-2.634892120185012,0.010431378565339372
6,-20.75,-20.75840635834386,1494720.2370272246,2.7152977448571494,0.003979436590725038,7.298605966381367e-05,1095,-2.40017841105688,0.007965309220338808
7,-20.25,-20.29345067251516,1419629.0613016025,7.1951300680126264,0.005601109845934659,9.282947857944842e-05,528,-2.251725910099427,0.007197739629097228
8,-19.75,-19.84225599250118,862861.8357779061,13.627929956348448,0.004930582032871037,0.0001313109712957577,131,-2.3071018112006203,0.011566105150855212
9,-19.25,-19.304098970267415,996379.2842106936,14.521812080536913,2.9149165003045452e-05,7.649194646109385e-06,1,-4.535373881377134,0.11396563247908217
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
