,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,-23.06353761250129,727662.7017839621,1.218045112781955,3.3478289042320156e-06,3.0334131689509206e-06,1,-5.475236745376101,0.39350714695805183
2,-22.75,-22.665811920264627,727662.7017839621,1.1880082775672551,1.6326359378523796e-05,6.698763056614797e-06,5,-4.787110647969393,0.17819256354800486
3,-22.25,-22.185048081524638,727662.7017839621,1.1942076736820135,8.534008803697267e-05,1.5315334400778876e-05,26,-4.068846913457587,0.07793951672371932
4,-21.75,-21.723469026363414,727662.7017839617,1.2071875401220542,0.0003417526178756578,3.064826298276171e-05,103,-3.466288149987359,0.03894738707802938
5,-21.25,-21.234826258843544,727662.7017839621,1.21662976461308,0.0008493604508080704,4.8316554632659417e-05,254,-3.0709079651439026,0.02470519205547827
6,-20.75,-20.743081149603363,727662.7017839622,1.23365833597842,0.0016173840567038282,6.667400133442985e-05,477,-2.7911868422441226,0.0179030767280868
7,-20.25,-20.24401721070351,727662.7017839622,1.2770458131553672,0.0022674560432349757,7.89440456289145e-05,646,-2.6444611233926882,0.015120453381244733
8,-19.75,-19.73780112142079,727662.7017839622,1.384581931027878,0.0029036420604884035,8.933496670518363e-05,763,-2.5370569212831637,0.013361730637882431
9,-19.25,-19.267045169370686,727662.7017839622,1.8283509466295422,0.0038594077271487744,0.00010299360781759058,768,-2.413479337962153,0.011589746072134281
10,-18.75,-18.783087948658864,727087.4186383,3.8519766022275705,0.004811957890388636,0.00011524464177977437,453,-2.317678181841725,0.010401194926049254
11,-18.25,-18.30473736591957,590252.7322543967,7.655091305815753,0.00576785465371759,0.00015908514679974976,191,-2.238985692096488,0.011978422750886971
12,-17.75,-17.86300657250314,276311.8573082691,12.338155982286295,0.004101094946909116,0.00020267986505075628,39,-2.3871001759840658,0.021463230703980544
13,-17.25,-17.275494565314673,287311.6440712305,10.207206959000525,0.0004762682677970398,8.949510688767813e-05,3,-3.3221483531508693,0.08160785361250114
14,-16.75,-16.82064194679206,104375.1454766893,14.521812080536913,0.0016398663388678225,0.0003921202780775557,2,-2.7851915486948426,0.10384728863269713
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
