,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,-23.02172748073648,1134484.0100443126,1.2170267531336578,2.1455159215265115e-06,1.9448301523864458e-06,1,-5.668468258290269,0.393671748107816
2,-22.75,-22.755531788157494,1134484.0100443123,1.2324199659382182,1.5208570037457933e-05,5.177975596813242e-06,7,-4.817911617902024,0.14786177948269238
3,-22.25,-22.141171217294545,1134484.0100443126,1.2448514769868901,5.4864214302071425e-05,9.834683553088231e-06,25,-4.2607108358521755,0.07784944800001677
4,-21.75,-21.69916476413408,1134484.0100443119,1.259720316697642,0.00020653264112255708,1.9081396573134536e-05,93,-3.6850113012029793,0.04012414305883228
5,-21.25,-21.22408985887774,1134484.0100443123,1.308959607613451,0.0005953571417037063,3.239698479758032e-05,258,-3.22522243235561,0.023632590830488194
6,-20.75,-20.7321521678107,1133788.4130020933,1.3965418378662702,0.0010545834778427953,4.313776506258573e-05,428,-2.976919037042021,0.017764827272509744
7,-20.25,-20.260633730428573,991647.892370264,1.5565464531540567,0.0017375399466867173,6.114445538929882e-05,536,-2.760065202032131,0.015282928962403821
8,-19.75,-19.83948944334012,420290.92376180564,1.6128901434934342,0.0014022636510289538,0.00012251656978171257,138,-2.8531703234434667,0.037944554976426334
9,-19.25,-19.455261024911835,35847.27574199368,1.6146217995674312,9.00833754390973e-05,7.089396149246478e-05,1,-4.045355349101197,0.3417817785619557
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
