,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.03486369374185,2.9480779869354363e-06,2.279739857637519e-06,1134484.0100443107,1.6722736682709363,-5.530461032058666,0.3358386191730559
2,3,-22.75,-22.696840064224315,8.429862071612651e-06,3.855014737567248e-06,1134484.0100443107,1.5939239545205934,-5.074179531191103,0.19860486612456374
3,12,-22.25,-22.119307382382104,3.366907337005191e-05,7.70426815225848e-06,1134484.0100443105,1.591542723805525,-4.472768835967449,0.09937669233882039
4,68,-21.75,-21.700719401339732,0.00019293737842259004,1.844267847140588e-05,1134484.0100443102,1.6094439026492395,-3.714583626839731,0.04151374688062868
5,195,-21.25,-21.22614454181473,0.0005797977982192886,3.1970843100792225e-05,1134484.0100443102,1.6865931567658479,-3.2367234382101158,0.023947591355318112
6,320,-20.75,-20.719668932635166,0.0010436580706543394,4.2919333883912726e-05,1133640.5941675075,1.8481239021993354,-2.98144176412232,0.017859901050791587
7,393,-20.25,-20.25800859888738,0.0017379584552851659,6.149482369215405e-05,985170.0525853519,2.104019332928615,-2.7599606092774858,0.015366801498562732
8,104,-19.75,-19.834823030273608,0.0015153261746811758,0.00013024677439258552,404442.0368837981,2.2048368079319802,-2.819493875005022,0.03732889746743734
9,1,-19.25,-19.463411521904078,0.00012301279594026488,8.284419159406634e-05,35847.27574199112,2.2048368079319807,-3.9100497103719505,0.29247994074136885
10,0,-18.75,,0.0,0.0,,,-inf,
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
