,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,0,-23.25,,0.0,0.0,,,-inf,
2,2,-22.75,-22.792688511537737,9.899943028999554e-06,5.631527575174158e-06,624324.3318017658,1.545193829113924,-5.004367304620866,0.24704600252950074
3,4,-22.25,-22.212796419881517,2.081976841325818e-05,8.166722795448456e-06,624324.3318017658,1.6247860003593655,-4.681524105632564,0.1703555282122235
4,19,-21.75,-21.738988557238013,9.916601771854796e-05,1.7823430786204016e-05,624324.331801766,1.6292567828835403,-4.0036371266938415,0.07805715926802957
5,60,-21.25,-21.225646064218925,0.0003053219446023687,3.12743921288505e-05,624324.3318017657,1.5884993254024136,-3.515241980250257,0.04448516120951266
6,110,-20.75,-20.73039571622559,0.0005642175297452339,4.2514116169105477e-05,624324.3318017657,1.601157873859255,-3.248553424821281,0.0327243396063454
7,168,-20.25,-20.240701477378977,0.0008952830516432143,5.355376997255739e-05,624324.3318017657,1.6635327172339156,-3.0480396369384524,0.025978495562391693
8,218,-19.75,-19.726714763840114,0.0012546491657711469,6.339733738625017e-05,624324.3318017658,1.7965779863892526,-2.901477697824721,0.021944870761767456
9,204,-19.25,-19.267834678759932,0.001383730132178599,6.988573729854122e-05,583917.463936911,1.9509268554235837,-2.858948601738981,0.02193418309443831
10,95,-18.75,-18.79649092240532,0.0015397811720883814,0.00012872368128461875,311076.09482915176,2.0947898511848506,-2.812540995077332,0.03630644762097013
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
