,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.03486369374185,1.613297413654887e-06,1.247558047117943e-06,2073112.6872415172,1.6722736682709363,-5.792285562429672,0.33583861917305596
2,5,-22.75,-22.735179443149683,7.594531228559814e-06,2.70678667096074e-06,2073112.6872415175,1.5744319043579256,-5.119499027743623,0.15478802832053742
3,16,-22.25,-22.142679641756956,2.4694901386343825e-05,4.880981832940116e-06,2073112.6872415172,1.599853542943985,-4.607392703758445,0.08583891237922266
4,98,-21.75,-21.708774980030967,0.00015243007629659624,1.2126595089530337e-05,2073112.6872415175,1.612269005549317,-3.816929332990376,0.03455035554407642
5,271,-21.25,-21.225551004340385,0.000434269251675769,2.0468361718808302e-05,2073112.6872415172,1.6610499913799195,-3.3622409196598464,0.020469550892161865
6,478,-20.75,-20.72623938432305,0.0008170790679569971,2.808157269921313e-05,2072548.0573658333,1.771210325651149,-3.087735915173949,0.014925938681708004
7,638,-20.25,-20.250639809836404,0.0013034526385251974,3.7185957889167905e-05,1918037.5112024879,1.9413833387085362,-2.884904744473286,0.01238990649773434
8,404,-19.75,-19.758222854394102,0.0012594392392341535,4.5728047272076525e-05,1268783.376999343,1.9245064983239906,-2.8998227798942127,0.015768476937839504
9,257,-19.25,-19.271906248700144,0.0013563247225142363,6.221666061218971e-05,749978.3915565046,1.9112504157362435,-2.8676363220374923,0.019921742881920942
10,133,-18.75,-18.774564992554733,0.0014707944727871763,9.424593447909418e-05,393205.6369066734,2.008937483905046,-2.832448010869085,0.027828829957813325
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
