,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,,,,0.0,0.0,0,-inf,
2,-22.75,-22.792688511537737,624324.3318017658,1.545193829113924,9.899943028999554e-06,5.631527575174158e-06,2,-5.004367304620866,0.24704600252950074
3,-22.25,-22.212796419881517,624324.3318017658,1.6247860003593655,2.081976841325818e-05,8.166722795448456e-06,4,-4.681524105632564,0.1703555282122235
4,-21.75,-21.738988557238013,624324.331801766,1.6292567828835403,9.916601771854796e-05,1.7823430786204016e-05,19,-4.0036371266938415,0.07805715926802957
5,-21.25,-21.22632175815956,624324.3318017657,1.5860078244842892,0.0002896009057814805,3.045859212520089e-05,57,-3.538200084134823,0.04567664749121269
6,-20.75,-20.72807999342983,624324.3318017657,1.602182731426854,0.0005389160032072415,4.154994061794846e-05,105,-3.2684789197600623,0.033483715136296645
7,-20.25,-20.238190466985472,624324.3318017657,1.6660378665104858,0.0008539345499233793,5.230246529641025e-05,160,-3.0685754146697715,0.026600015270731702
8,-19.75,-19.72351693916515,624324.3318017657,1.8011151861107146,0.0011539612309600649,6.080026560245576e-05,200,-2.9378087817027696,0.02288224174345111
9,-19.25,-19.25650040174706,624324.3318017657,2.167189965910103,0.0014093301851943185,6.719179515184595e-05,203,-2.8509872462031924,0.020705599135093303
10,-18.75,-18.769302444673105,624324.3318017657,4.587685268471609,0.0021162932309666013,8.233752128855392e-05,144,-2.674424157162523,0.016896869784381416
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
