,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,-23.894900359711265,1495571.9978284836,1.6094028357816652,2.1522238155280518e-06,1.696504639556431e-06,1,-5.667112567208957,0.3423354941836531
1,-23.25,-23.014907830744022,1495571.9978284836,1.5629661919984499,2.090124974615492e-06,1.6718505892156866e-06,1,-5.679827745389807,0.3473837661772568
2,-22.75,-22.764664725111373,1495571.9978284836,1.5814220524599205,8.459222583766415e-06,3.363384833892659e-06,4,-5.072669547492203,0.17267537996692595
3,-22.25,-22.21920233534759,1495571.9978284836,1.6597768391699264,6.880722839017544e-05,9.592424011407545e-06,31,-4.16236593552805,0.0605450461193897
4,-21.75,-21.681664097088433,1495571.9978284836,1.7969062858047522,0.0003292067001958982,2.098194131963151e-05,137,-3.4825313343695656,0.027679695854645105
5,-21.25,-21.222119154139055,1495571.9978284836,2.1315505088980284,0.0009577619426274838,3.5788222051705125e-05,336,-3.0187424239599943,0.016228069484098332
6,-20.75,-20.754058262514977,1495571.9978284836,3.4817948417169706,0.0019974832228276057,5.1683617706489745e-05,429,-2.6995168597055814,0.011237095620233353
7,-20.25,-20.28021416529108,1465880.0684569268,10.58836011594278,0.003421821591115745,6.87438909717212e-05,235,-2.4657426376978466,0.008724912073467426
8,-19.75,-19.843519569318758,941445.3120397261,20.674647124739508,0.0031024084817048063,9.547364004280613e-05,62,-2.508301020941827,0.013364995384174336
9,-19.25,-19.304098970267415,996379.2842106936,22.29381797874519,4.4749661764406885e-05,9.477581585249497e-06,1,-4.349210242904646,0.09197972056038141
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
