,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,-23.03486369374185,1035637.477030652,1.6722736682709363,3.229457614967021e-06,2.497329879337604e-06,1,-5.490870410983576,0.33583861917305596
2,-22.75,-22.595509279420824,1035637.477030652,1.6094028357816652,3.1080428653395117e-06,2.449935319433798e-06,1,-5.50751300015039,0.3423354941836531
3,-22.25,-22.153348060490025,1035637.4770306521,1.5887643274335694,2.7613676144473708e-05,7.302528025317195e-06,9,-4.558875772897724,0.1148506127451562
4,-21.75,-21.697660123947173,1035637.4770306518,1.5922569714407915,0.00018757080042404366,1.9032407803070423e-05,61,-3.726834768311525,0.044066931886624
5,-21.25,-21.22827322033619,1035637.4770306519,1.6687604195006804,0.0005317410297029312,3.2045068548248785e-05,165,-3.2742998277691506,0.0261725081671635
6,-20.75,-20.728995878073114,1035637.4770306519,1.7858897260064477,0.0009898258082228141,4.372104215180001e-05,287,-3.0044412268002376,0.019182978653262173
7,-20.25,-20.24331796977948,1035637.4770306518,2.158685101590924,0.0017092098563097546,5.7452484346610926e-05,410,-2.7672046114500923,0.014598147109470114
8,-19.75,-19.751591358519303,1035637.4770306518,4.184960697080606,0.0024568984420305015,6.888183708509514e-05,304,-2.6096127950776378,0.01217592116859839
9,-19.25,-19.299893356173442,1028372.1981030799,11.442604575358343,0.003775817732517394,8.591182807998826e-05,169,-2.422988978270277,0.009881576789058598
10,-18.75,-18.813808934231343,589704.737683256,19.6167888334558,0.0019498168157030577,9.721016309715789e-05,25,-2.710006188466372,0.021652207057609174
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
