round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_ZCOS	Z_USE
22.42980003	0.02070000	22.34860039	0.01690000	22.18350029	0.01580000	21.54019928	1.00000000	0.01380000	0.02580000	21.80500031	0.01440000	-999.98999023	4.00000000
24.75909996	0.06550000	24.13640022	0.04250000	23.50239944	0.02990000	22.24640083	1.00000000	0.01840000	0.10300000	21.68790054	0.01450000	0.95999998	3.00000000
24.22990036	0.05040000	23.76359940	0.03480000	23.52050018	0.03040000	22.47870064	1.00000000	0.02070000	0.11380000	22.29669952	0.02180000	0.96850002	3.00000000
23.33970070	0.03200000	22.96489906	0.02300000	22.74309921	0.02070000	21.85359955	1.00000000	0.01640000	0.07130000	21.76510048	0.01600000	1.00569999	3.00000000
24.01110077	0.04670000	23.28549957	0.02820000	22.48800087	0.01930000	21.64489937	1.00000000	0.01520000	0.04250000	21.78319931	0.01700000	0.37000000	3.00000000
24.39170074	0.05530000	23.42280006	0.02940000	22.97830009	0.02360000	22.20870018	1.00000000	0.01890000	0.07240000	22.15460014	0.02130000	0.43650001	3.00000000
23.76589966	0.03940000	22.46019936	0.01800000	21.87840080	0.01370000	20.59810066	2.00000000	-999.98999023	0.01330000	19.99790001	0.00590000	-999.98999023	4.00000000
24.20649910	0.05010000	22.91250038	0.02280000	22.30590057	0.01680000	20.97879982	2.00000000	-999.98999023	0.02780000	20.54899979	0.00780000	-999.98999023	4.00000000
22.73299980	0.02400000	22.73699951	0.02070000	22.54940033	0.01890000	22.32749939	1.00000000	0.01780000	0.09280000	22.30550003	0.02100000	-999.98999023	4.00000000
21.99220085	0.01710000	21.51729965	0.01170000	21.44190025	0.01120000	21.11779976	1.00000000	0.01170000	0.03840000	21.05270004	0.01050000	0.21410000	3.00000000
22.55439949	0.02300000	22.41699982	0.01810000	22.66939926	0.02130000	22.30640030	1.00000000	0.02030000	0.23000000	22.92720032	0.03800000	-999.98999023	4.00000000
23.70709991	0.03890000	22.97839928	0.02350000	22.66760063	0.02010000	21.92009926	1.00000000	0.01500000	0.06040000	21.63649940	0.01450000	-999.98999023	4.00000000
21.11470032	0.01130000	20.74460030	0.00810000	20.68379974	0.00800000	20.39450073	2.00000000	-999.98999023	0.01660000	20.34199905	0.00720000	-999.98999023	4.00000000
21.70739937	0.01490000	20.69669914	0.00790000	20.21129990	0.00640000	19.18889999	2.00000000	-999.98999023	0.00670000	18.88780022	0.00350000	-999.98999023	4.00000000
20.21789932	0.00750000	19.94389915	0.00560000	19.89780045	0.00550000	19.60219955	2.00000000	-999.98999023	0.00700000	19.63389969	0.00500000	-999.98999023	4.00000000
23.46540070	0.03420000	23.24379921	0.02790000	23.06310081	0.02550000	21.61840057	1.00000000	0.02500000	0.15470000	22.72879982	0.02890000	-999.98999023	4.00000000
23.35849953	0.03280000	22.12159920	0.01540000	21.39419937	0.01100000	19.64069939	2.00000000	-999.98999023	0.00930000	18.94059944	0.00360000	-999.98999023	4.00000000
25.85689926	0.12470000	25.13489914	0.08120000	24.63199997	0.05600000	23.18980026	1.00000000	0.05530000	0.68709999	24.18650055	0.08850000	-999.98999023	4.00000000
24.41530037	0.05270000	23.77090073	0.03330000	23.14749908	0.02480000	22.08639908	1.00000000	0.01740000	0.05280000	21.92830086	0.01560000	-999.98999023	4.00000000
25.62789917	0.10670000	24.57780075	0.05630000	23.76119995	0.03480000	22.33219910	1.00000000	0.02060000	0.10290000	21.98200035	0.01770000	0.58950001	3.00000000
22.84889984	0.02540000	22.68009949	0.02010000	22.45219994	0.01810000	21.26950073	1.00000000	0.01640000	0.06850000	21.95280075	0.01760000	-999.98999023	4.00000000
22.25449944	0.01910000	22.03140068	0.01460000	21.77799988	0.01300000	21.47369957	1.00000000	0.01180000	0.02030000	21.41659927	0.01150000	-999.98999023	4.00000000
23.01199913	0.02740000	22.92729950	0.02280000	22.84499931	0.02180000	22.24889946	1.00000000	0.01820000	0.07280000	22.03059959	0.01780000	-999.98999023	4.00000000
23.54859924	0.03580000	22.81299973	0.02160000	22.33029938	0.01710000	20.86479950	1.00000000	0.00970000	0.02470000	20.33230019	0.00710000	-999.98999023	4.00000000
23.19459915	0.03000000	22.99860001	0.02350000	22.95389938	0.02300000	22.95260048	1.00000000	0.02260000	0.08970000	22.52729988	0.02540000	-999.98999023	4.00000000
23.17519951	0.02960000	22.95079994	0.02290000	22.82250023	0.02160000	23.34399986	1.00000000	0.02540000	0.10230000	22.61280060	0.02680000	-999.98999023	4.00000000
24.21290016	0.05060000	23.94169998	0.03890000	23.54350090	0.03110000	22.69099998	1.00000000	0.02250000	0.07810000	22.50539970	0.02580000	-999.98999023	4.00000000
22.31710052	0.01970000	21.94619942	0.01410000	21.80220032	0.01320000	21.03669930	1.00000000	0.01180000	0.03150000	21.26729965	0.01160000	-999.98999023	4.00000000
23.44899940	0.03360000	23.26149940	0.02630000	23.12890053	0.02470000	22.48430061	1.00000000	0.01820000	0.06570000	21.76869965	0.01440000	-999.98999023	4.00000000
25.81699944	0.12440000	24.47100067	0.05330000	23.69689941	0.03420000	21.90189934	2.00000000	-999.98999023	0.05570000	20.98150063	0.01000000	-999.98999023	4.00000000
22.72279930	0.02380000	22.39279938	0.01740000	22.26309967	0.01640000	21.86160088	1.00000000	0.01510000	0.03910000	22.00609970	0.01640000	-999.98999023	4.00000000
23.13190079	0.02890000	22.93129921	0.02360000	22.68129921	0.01980000	22.12350082	1.00000000	0.01760000	0.04350000	22.28680038	0.01840000	-999.98999023	4.00000000
22.69499969	0.02390000	22.21850014	0.01650000	21.98830032	0.01480000	21.66360092	1.00000000	0.01500000	0.05870000	21.52449989	0.01450000	-999.98999023	4.00000000
21.69070053	0.01470000	20.87999916	0.00860000	20.53750038	0.00740000	19.90979958	2.00000000	-999.98999023	0.01210000	19.79870033	0.00540000	-999.98999023	4.00000000
22.05979919	0.01760000	22.50200081	0.01880000	22.27860069	0.01680000	20.84020042	1.00000000	0.01560000	0.04460000	21.87199974	0.01850000	0.22840001	3.00000000
22.52260017	0.02170000	22.43289948	0.01780000	22.47330093	0.01820000	21.85339928	1.00000000	0.01730000	0.08130000	22.31789970	0.02180000	-999.98999023	4.00000000
