r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
22.42980	0.02070	22.34860	0.01690	22.18350	0.01580	21.98850	0.05460	21.80500	0.01440	-999.98999023	1	4.00000000
23.33970	0.03200	22.96490	0.02300	22.74310	0.02070	22.15570	0.07510	21.76510	0.01600	-999.98999023	2	3.00000000
24.01110	0.04670	23.28550	0.02820	22.48800	0.01930	21.88480	0.06340	21.78320	0.01700	-999.98999023	1	3.00000000
24.39170	0.05530	23.42280	0.02940	22.97830	0.02360	22.41150	0.09200	22.15460	0.02130	-999.98999023	2	3.00000000
23.76590	0.03940	22.46020	0.01800	21.87840	0.01370	20.45120	0.02500	19.99790	0.00590	-999.98999023	1	4.00000000
24.20650	0.05010	22.91250	0.02280	22.30590	0.01680	20.94610	0.03110	20.54900	0.00780	-999.98999023	1	4.00000000
22.73300	0.02400	22.73700	0.02070	22.54940	0.01890	22.29590	0.07810	22.30550	0.02100	-999.98999023	0	4.00000000
21.99220	0.01710	21.51730	0.01170	21.44190	0.01120	21.98010	0.06580	21.05270	0.01050	-999.98999023	3	3.00000000
22.55440	0.02300	22.41700	0.01810	22.66940	0.02130	21.52010	0.04750	22.92720	0.03800	-999.98999023	0	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	27.50000	-999.98999	-999.98999	-999.98999023	0	4.00000000
23.70710	0.03890	22.97840	0.02350	22.66760	0.02010	21.81040	0.05820	21.63650	0.01450	-999.98999023	0	4.00000000
21.11470	0.01130	20.74460	0.00810	20.68380	0.00800	20.59670	0.02730	20.34200	0.00720	-999.98999023	1	4.00000000
21.70740	0.01490	20.69670	0.00790	20.21130	0.00640	19.22250	0.01300	18.88780	0.00350	-999.98999023	1	4.00000000
21.45890	0.01320	20.36860	0.00680	19.80310	0.00530	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
20.21790	0.00750	19.94390	0.00560	19.89780	0.00550	19.70650	0.01680	19.63390	0.00500	-999.98999023	1	4.00000000
23.46540	0.03420	23.24380	0.02790	23.06310	0.02550	22.34440	0.07160	22.72880	0.02890	-999.98999023	0	4.00000000
23.35850	0.03280	22.12160	0.01540	21.39420	0.01100	19.50920	0.01500	18.94060	0.00360	-999.98999023	1	4.00000000
22.84890	0.02540	22.68010	0.02010	22.45220	0.01810	22.38410	0.08890	21.95280	0.01760	-999.98999023	2	4.00000000
22.25450	0.01910	22.03140	0.01460	21.77800	0.01300	21.46020	0.03670	21.41660	0.01150	-999.98999023	0	4.00000000
23.01200	0.02740	22.92730	0.02280	22.84500	0.02180	22.27770	0.07680	22.03060	0.01780	-999.98999023	2	4.00000000
23.54860	0.03580	22.81300	0.02160	22.33030	0.01710	20.83580	0.03130	20.33230	0.00710	-999.98999023	1	4.00000000
23.19460	0.03000	22.99860	0.02350	22.95390	0.02300	22.49330	0.08260	22.52730	0.02540	-999.98999023	2	4.00000000
23.17520	0.02960	22.95080	0.02290	22.82250	0.02160	22.30430	0.06700	22.61280	0.02680	-999.98999023	2	4.00000000
22.31710	0.01970	21.94620	0.01410	21.80220	0.01320	21.41980	0.04490	21.26730	0.01160	-999.98999023	0	4.00000000
22.01230	0.01710	20.80150	0.00820	20.29430	0.00660	-999.98999	-999.98999	18.67800	0.00320	-999.98999023	1	4.00000000
19.85570	0.00640	18.94690	0.00350	18.61410	0.00300	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
25.81700	0.12440	24.47100	0.05330	23.69690	0.03420	21.58310	0.05100	20.98150	0.01000	-999.98999023	1	4.00000000
22.72280	0.02380	22.39280	0.01740	22.26310	0.01640	22.04020	0.05840	22.00610	0.01640	-999.98999023	0	4.00000000
23.13190	0.02890	22.93130	0.02360	22.68130	0.01980	22.39370	0.06740	22.28680	0.01840	-999.98999023	0	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
22.69500	0.02390	22.21850	0.01650	21.98830	0.01480	22.34210	0.08390	21.52450	0.01450	-999.98999023	2	4.00000000
21.69070	0.01470	20.88000	0.00860	20.53750	0.00740	20.04870	0.02010	19.79870	0.00540	-999.98999023	1	4.00000000
22.05980	0.01760	22.50200	0.01880	22.27860	0.01680	22.07210	0.06970	21.87200	0.01850	-999.98999023	2	3.00000000
22.52260	0.02170	22.43290	0.01780	22.47330	0.01820	22.37790	0.08470	22.31790	0.02180	-999.98999023	3	4.00000000
21.62020	0.01430	20.63470	0.00760	20.11810	0.00610	-999.98999	-999.98999	18.26150	0.00290	-999.98999023	1	4.00000000
24.25420	0.05120	23.37120	0.02900	22.87960	0.02230	22.29240	0.08950	22.05250	0.01910	-999.98999023	2	3.00000000
23.30520	0.03110	23.03360	0.02350	22.72840	0.02030	22.17790	0.06260	22.10440	0.01700	-999.98999023	0	4.00000000
22.65320	0.02320	21.63900	0.01230	21.08500	0.00950	19.54100	0.01540	19.12650	0.00390	-999.98999023	1	4.00000000
21.51370	0.01360	20.56950	0.00740	20.02470	0.00590	-999.98999	-999.98999	18.16630	0.00250	-999.98999023	1	4.00000000
21.30880	0.01240	20.35150	0.00670	19.84320	0.00540	-999.98999	-999.98999	18.70070	0.00320	-999.98999023	1	4.00000000
20.22880	0.00750	19.36250	0.00430	18.94690	0.00360	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.95420	0.04340	23.06310	0.02450	22.73600	0.02060	22.20690	0.07290	21.99510	0.01730	-999.98999023	0	4.00000000
23.18860	0.02960	22.22890	0.01600	21.95650	0.01410	21.29090	0.03490	21.15770	0.01040	-999.98999023	1	4.00000000
21.54020	0.01370	20.45980	0.00700	19.95870	0.00570	-999.98999	-999.98999	18.23610	0.00310	-999.98999023	1	4.00000000
23.85950	0.04130	23.27420	0.02700	22.94370	0.02280	22.15020	0.07150	22.00350	0.01760	-999.98999023	2	4.00000000
19.42520	0.00520	19.08050	0.00370	19.02390	0.00370	-999.98999	-999.98999	18.78030	0.00340	-999.98999023	1	4.00000000
23.56830	0.03820	22.80280	0.02230	22.46840	0.02010	21.89440	0.05880	21.60470	0.01670	-999.98999023	0	4.00000000
24.23980	0.05030	23.13690	0.02550	22.74350	0.02080	22.14690	0.08070	21.92630	0.01760	-999.98999023	1	4.00000000
18.81410	0.00390	18.32680	0.00270	-999.98999	-999.98999	-999.98999	-999.98999	17.36240	0.00200	-999.98999023	1	4.00000000
20.89290	0.01020	20.57150	0.00740	20.50530	0.00730	20.26690	0.02230	20.14570	0.00640	-999.98999023	1	4.00000000
23.70230	0.03930	-999.98999	-999.98999	-999.98999	-999.98999	22.20240	0.05610	-999.98999	-999.98999	-999.98999023	0	4.00000000
20.32860	0.00800	19.31970	0.00420	18.88440	0.00340	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.06080	0.02830	22.35110	0.01720	22.07130	0.01500	21.64190	0.05190	21.46930	0.01310	-999.98999023	1	3.00000000
23.77790	0.03940	23.16510	0.02520	22.81300	0.02160	22.20260	0.06850	22.04120	0.01750	-999.98999023	2	4.00000000
